# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,PropGeom,0,ENIUPMQTWX,0,0,1,6.123233995736766036e-17, 0.000000000000000000e+00, -1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 6.123233995736766036e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,65,17
# x,y,z,u,w
2.556238306275624220e-02, 8.115299999999991964e-02, -1.588093699174088907e-03, 1.000000000000000000e+00, 0.000000000000000000e+00
2.317368053580578721e-02, 8.115299999999991964e-02, -1.750913824515282864e-03, 1.000000000000000000e+00, 9.595583006934514658e-02
1.848193891872924877e-02, 8.115299999999991964e-02, -1.843240068635852323e-03, 1.000000000000000000e+00, 2.765358755368439447e-01
1.048836841856146639e-02, 8.115299999999991964e-02, -1.768721444392682817e-03, 1.000000000000000000e+00, 5.841612375912467181e-01
-3.140168503651343977e-04, 8.115299999999991964e-02, -1.486492732794056837e-03, 1.000000000000000000e+00, 1.000000000000000000e+00
-1.109183669008253006e-02, 8.115299999999991964e-02, -7.109505789088861214e-04, 1.000000000000000000e+00, 1.415838762408753171e+00
-1.906715285952970823e-02, 8.115299999999991964e-02, -1.741079508302254865e-04, 1.000000000000000000e+00, 1.723464124463156111e+00
-2.372868215640670103e-02, 8.115299999999991964e-02, 2.901480125808708079e-04, 1.000000000000000000e+00, 1.904044169930654951e+00
-2.556238306275624220e-02, 8.115299999999991964e-02, 1.588093699174088907e-03, 1.000000000000000000e+00, 2.000000000000000000e+00
-2.394550274566782655e-02, 8.115299999999991964e-02, 3.296633946194415122e-03, 1.000000000000000000e+00, 2.095955830069344827e+00
-1.932219023152513537e-02, 8.115299999999991964e-02, 4.339518804458942711e-03, 1.000000000000000000e+00, 2.276535875536843889e+00
-1.120150021762841841e-02, 8.115299999999991964e-02, 4.272296300698370797e-03, 1.000000000000000000e+00, 2.584161237591246607e+00
-2.619820750571322352e-04, 8.115299999999991964e-02, 3.379871630169909748e-03, 1.000000000000000000e+00, 3.000000000000000000e+00
1.051679635800715530e-02, 8.115299999999991964e-02, 1.298306414147675078e-03, 1.000000000000000000e+00, 3.415838762408752949e+00
1.846396441902241337e-02, 8.115299999999991964e-02, -3.810359425099595640e-04, 1.000000000000000000e+00, 3.723464124463156111e+00
2.316288056590856334e-02, 8.115299999999991964e-02, -1.191762182815346918e-03, 1.000000000000000000e+00, 3.904044169930655173e+00
2.556238306275624220e-02, 8.115299999999991964e-02, -1.588093699174088907e-03, 1.000000000000000000e+00, 4.000000000000000000e+00
2.538040455391624151e-02, 8.345685937499995599e-02, -1.536458010677123343e-03, 1.015625000000000000e+00, 0.000000000000000000e+00
2.300919629478354392e-02, 8.345685937499995599e-02, -1.701856106890378348e-03, 1.015625000000000000e+00, 9.595583006934514658e-02
1.835145835671925588e-02, 8.345685937499996987e-02, -1.800887867451578597e-03, 1.015625000000000000e+00, 2.765358755368439447e-01
1.041545752663929764e-02, 8.345685937499995599e-02, -1.739466604891097340e-03, 1.015625000000000000e+00, 5.841612375912467181e-01
-3.094143735319921642e-04, 8.345685937499995599e-02, -1.476248263460006298e-03, 1.015625000000000000e+00, 1.000000000000000000e+00
-1.101067383128251018e-02, 8.345685937499995599e-02, -7.232415710369811653e-04, 1.015625000000000000e+00, 1.415838762408753171e+00
-1.892927908062029541e-02, 8.345685937499996987e-02, -2.028085227423918674e-04, 1.015625000000000000e+00, 1.723464124463156111e+00
-2.355789737150476917e-02, 8.345685937499995599e-02, 2.507675483539231883e-04, 1.015625000000000000e+00, 1.904044169930654951e+00
-2.538040455391624151e-02, 8.345685937499995599e-02, 1.536458010677123343e-03, 1.015625000000000000e+00, 2.000000000000000000e+00
