# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,PropGeom,0,BNRIVEPAOP,0,0,1,6.123233995736766036e-17, 0.000000000000000000e+00, -1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 6.123233995736766036e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,50,25
# x,y,z,u,w
6.669953214849953793e-02, 4.126456567999987612e-01, -7.496645344503572936e-03, 1.000000000000000000e+00, 0.000000000000000000e+00
6.366887199156850974e-02, 4.126456567999987612e-01, -7.907097138953598711e-03, 1.000000000000000000e+00, 4.841595327331393861e-02
5.851599844082122637e-02, 4.126456567999987612e-01, -7.975957913428371668e-03, 1.000000000000000000e+00, 1.243194147256564686e-01
5.009302235842211931e-02, 4.126456567999987612e-01, -7.827335725294273794e-03, 1.000000000000000000e+00, 2.483789085618058612e-01
3.729390790440213072e-02, 4.126456567999987612e-01, -7.200337595099958257e-03, 1.000000000000000000e+00, 4.370901933198670375e-01
1.982835711753009461e-02, 4.126456567999987612e-01, -5.973241664591752084e-03, 1.000000000000000000e+00, 6.949315309392636308e-01
-7.981838616250449105e-04, 4.126456567999987612e-01, -4.053883700378311215e-03, 1.000000000000000000e+00, 1.000000000000000000e+00
-2.138496606257809379e-02, 4.126456567999987612e-01, -1.747063810307756745e-03, 1.000000000000000000e+00, 1.305068469060736591e+00
-3.874004296181884910e-02, 4.126456567999988723e-01, 5.673961915917578262e-04, 1.000000000000000000e+00, 1.562909806680132796e+00
-5.139774755335246165e-02, 4.126456567999987612e-01, 2.564364619000501864e-03, 1.000000000000000000e+00, 1.751621091438194222e+00
-5.966384362986719425e-02, 4.126456567999990388e-01, 4.184711387565605289e-03, 1.000000000000000000e+00, 1.875680585274343448e+00
-6.463941742015696934e-02, 4.126456567999987612e-01, 5.521767493152657073e-03, 1.000000000000000000e+00, 1.951584046726686061e+00
-6.669953214849953793e-02, 4.126456567999987612e-01, 7.496645344503572936e-03, 1.000000000000000000e+00, 2.000000000000000000e+00
-6.520484636242968035e-02, 4.126456567999987612e-01, 1.012157278625161472e-02, 1.000000000000000000e+00, 2.048415953273313939e+00
-6.065198279971606432e-02, 4.126456567999987612e-01, 1.271553871144975173e-02, 1.000000000000000000e+00, 2.124319414725656774e+00
-5.223808592141049312e-02, 4.126456567999987612e-01, 1.443457971600524761e-02, 1.000000000000000000e+00, 2.248378908561805556e+00
-3.914069977821271057e-02, 4.126456567999987612e-01, 1.427697517666902047e-02, 1.000000000000000000e+00, 2.437090193319866760e+00
-2.131829056851935675e-02, 4.126456567999987612e-01, 1.253139871576889296e-02, 1.000000000000000000e+00, 2.694931530939263631e+00
-3.548098503937239015e-04, 4.126456567999987612e-01, 9.460258370237626183e-03, 1.000000000000000000e+00, 3.000000000000000000e+00
2.039013546984953448e-02, 4.126456567999987612e-01, 5.161642935547152040e-03, 1.000000000000000000e+00, 3.305068469060736369e+00
3.770554142514783574e-02, 4.126456567999987612e-01, 5.915334046178156958e-04, 1.000000000000000000e+00, 3.562909806680132796e+00
5.031015071068814515e-02, 4.126456567999987612e-01, -3.003252875829981981e-03, 1.000000000000000000e+00, 3.751621091438194000e+00
5.858836050655765598e-02, 4.126456567999987612e-01, -5.395265116250600075e-03, 1.000000000000000000e+00, 3.875680585274343670e+00
6.369674041906843442e-02, 4.126456567999987612e-01, -6.695737767234418575e-03, 1.000000000000000000e+00, 3.951584046726686061e+00
6.669953214849953793e-02, 4.126456567999987612e-01, -7.496645344503572936e-03, 1.000000000000000000e+00, 4.000000000000000000e+00
6.672483214221050507e-02, 4.356472270693867999e-01, -7.268056340598297131e-03, 1.020408163265306145e+00, 0.000000000000000000e+00
6.369559598970478409e-02, 4.356472270693867999e-01, -7.688890269338664527e-03, 1.020408163265306145e+00, 4.841595327331393861e-02
5.854298830442031948e-02, 4.356472270693867999e-01, -7.775406908125636653e-03, 1.020408163265306145e+00, 1.243194147256564686e-01
5.011955186900303449e-02, 4.356472270693867999e-01, -7.655646816826244989e-03, 1.020408163265306145e+00, 2.483789085618058612e-01
3.731836331556945968e-02, 4.356472270693867999e-01, -7.072508357009470517e-03, 1.020408163265306145e+00, 4.370901933198670375e-01
1.984870928759796538e-02, 4.356472270693867999e-01, -5.905265086454256768e-03, 1.020408163265306145e+00, 6.949315309392636308e-01
-7.842886174114178455e-04, 4.356472270693867999e-01, -4.056594926970260272e-03, 1.020408163265306145e+00, 1.000000000000000000e+00
-2.137885561457103512e-02, 4.356472270693867999e-01, -1.820328882994828694e-03, 1.020408163265306145e+00, 1.305068469060736591e+00
-3.874176225110665533e-02, 4.356472270693868554e-01, 4.346506234215371796e-04, 1.020408163265306145e+00, 1.562909806680132796e+00
-5.140623596632365455e-02, 4.356472270693867999e-01, 2.388235892244279165e-03, 1.020408163265306145e+00, 1.751621091438194222e+00
-5.967783616490648230e-02, 4.356472270693870219e-01, 3.980249481306505008e-03, 1.020408163265306145e+00, 1.875680585274343448e+00
-6.465796247724130141e-02, 4.356472270693867999e-01, 5.300248994535751955e-03, 1.020408163265306145e+00, 1.951584046726686061e+00
-6.672483214221050507e-02, 4.356472270693867999e-01, 7.268056340598297131e-03, 1.020408163265306145e+00, 2.000000000000000000e+00
-6.523913679584653069e-02, 4.356472270693868554e-01, 9.898084446021925692e-03, 1.020408163265306145e+00, 2.048415953273313939e+00
-6.069520038714532051e-02, 4.356472270693867999e-01, 1.250764116317157164e-02, 1.020408163265306145e+00, 2.124319414725656774e+00
-5.228724263806314859e-02, 4.356472270693867999e-01, 1.425550229531802326e-02, 1.020408163265306145e+00, 2.248378908561805556e+00
-3.918939250477051356e-02, 4.356472270693867999e-01, 1.414277674486718803e-02, 1.020408163265306145e+00, 2.437090193319866760e+00
-2.136110556080551837e-02, 4.356472270693867999e-01, 1.245827877003060496e-02, 1.020408163265306145e+00, 2.694931530939263631e+00
-3.872233064219479442e-04, 4.356472270693867999e-01, 9.458987486358538810e-03, 1.020408163265306145e+00, 3.000000000000000000e+00
2.037233075755142189e-02, 4.356472270693867999e-01, 5.231479454559198258e-03, 1.020408163265306145e+00, 3.305068469060736369e+00
3.770329564279274043e-02, 4.356472270693867999e-01, 7.207276248553467178e-04, 1.020408163265306145e+00, 3.562909806680132796e+00
5.032014926814047662e-02, 4.356472270693867999e-01, -2.830848134324750066e-03, 1.020408163265306145e+00, 3.751621091438194000e+00
5.860650722214762881e-02, 4.356472270693867999e-01, -5.194481225038090517e-03, 1.020408163265306145e+00, 3.875680585274343670e+00
6.371931354020780869e-02, 4.356472270693867999e-01, -6.477442476754286145e-03, 1.020408163265306145e+00, 3.951584046726686061e+00
6.672483214221050507e-02, 4.356472270693867999e-01, -7.268056340598297131e-03, 1.020408163265306145e+00, 4.000000000000000000e+00
6.674934747594886419e-02, 4.586487973387747830e-01, -7.039381925732329272e-03, 1.040816326530612290e+00, 0.000000000000000000e+00
6.372157094979494230e-02, 4.586487973387747830e-01, -7.470593038312601554e-03, 1.040816326530612290e+00, 4.841595327331393861e-02
5.856928972204346329e-02, 4.586487973387747830e-01, -7.574764520661797854e-03, 1.040816326530612290e+00, 1.243194147256564686e-01
5.014549198914339256e-02, 4.586487973387747830e-01, -7.483867929035326917e-03, 1.040816326530612290e+00, 2.483789085618058612e-01
3.734237987249240665e-02, 4.586487973387747830e-01, -6.944595988338389883e-03, 1.040816326530612290e+00, 4.370901933198670375e-01
1.986882803915341819e-02, 4.586487973387747830e-01, -5.837219091537531289e-03, 1.040816326530612290e+00, 6.949315309392636308e-01
-7.703841555815883453e-04, 4.586487973387747830e-01, -4.059258460329233549e-03, 1.040816326530612290e+00, 1.000000000000000000e+00
-2.137249376403482434e-02, 4.586487973387747830e-01, -1.893572542666966318e-03, 1.040816326530612290e+00, 1.305068469060736591e+00
-3.874302595558099666e-02, 4.586487973387748385e-01, 3.018999662699319649e-04, 1.040816326530612290e+00, 1.562909806680132796e+00
-5.141411986378622428e-02, 4.586487973387747830e-01, 2.212079115736231404e-03, 1.040816326530612290e+00, 1.751621091438194222e+00
-5.969112691233988133e-02, 4.586487973387748940e-01, 3.775740813893229807e-03, 1.040816326530612290e+00, 1.875680585274343448e+00
-6.467574718150706503e-02, 4.586487973387747830e-01, 5.078668219807381222e-03, 1.040816326530612290e+00, 1.951584046726686061e+00
-6.674934747594886419e-02, 4.586487973387747830e-01, 7.039381925732329272e-03, 1.040816326530612290e+00, 2.000000000000000000e+00
-6.527266066616461970e-02, 4.586487973387748940e-01, 9.674480147763012822e-03, 1.040816326530612290e+00, 2.048415953273313939e+00
-6.073770421572499689e-02, 4.586487973387747830e-01, 1.229959659072495451e-02, 1.040816326530612290e+00, 2.124319414725656774e+00
-5.233578446764083208e-02, 4.586487973387747830e-01, 1.407625729184708296e-02, 1.040816326530612290e+00, 2.248378908561805556e+00
-3.923762436855573327e-02, 4.586487973387747830e-01, 1.400841204596386426e-02, 1.040816326530612290e+00, 2.437090193319866760e+00
-2.140366934387783610e-02, 4.586487973387747830e-01, 1.238501235102803209e-02, 1.040816326530612290e+00, 2.694931530939263631e+00
-4.196321989176455083e-04, 4.586487973387747830e-01, 9.457605380589229407e-03, 1.040816326530612290e+00, 3.000000000000000000e+00
2.035428648206052613e-02, 4.586487973387747830e-01, 5.301254445198581161e-03, 1.040816326530612290e+00, 3.305068469060736369e+00
3.770060648860096980e-02, 4.586487973387747830e-01, 8.499133432679865105e-04, 1.040816326530612290e+00, 3.562909806680132796e+00
5.032955608175022216e-02, 4.586487973387747830e-01, -2.658410143152147194e-03, 1.040816326530612290e+00, 3.751621091438194000e+00
5.862396474769480947e-02, 4.586487973387747830e-01, -4.993636297966333112e-03, 1.040816326530612290e+00, 3.875680585274343670e+00
6.374113734573835788e-02, 4.586487973387747830e-01, -6.259071068954531053e-03, 1.040816326530612290e+00, 3.951584046726686061e+00
6.674934747594886419e-02, 4.586487973387747830e-01, -7.039381925732329272e-03, 1.040816326530612290e+00, 4.000000000000000000e+00
6.677307802779539059e-02, 4.816503676081627661e-01, -6.810624796705029571e-03, 1.061224489795918435e+00, 0.000000000000000000e+00
6.374679672532836128e-02, 4.816503676081627661e-01, -7.252208022153311742e-03, 1.061224489795918435e+00, 4.841595327331393861e-02
5.859490253060532783e-02, 4.816503676081627661e-01, -7.374033120711410809e-03, 1.061224489795918435e+00, 1.243194147256564686e-01
5.017084253914601971e-02, 4.816503676081627661e-01, -7.312001093178645619e-03, 1.061224489795918435e+00, 2.483789085618058612e-01
3.736595738632630948e-02, 4.816503676081627661e-01, -6.816602005026298552e-03, 1.061224489795918435e+00, 4.370901933198670375e-01
1.988871318577172323e-02, 4.816503676081627661e-01, -5.769104491586556777e-03, 1.061224489795918435e+00, 6.949315309392636308e-01
-7.564706408473112790e-04, 4.816503676081627661e-01, -4.061874279294577957e-03, 1.061224489795918435e+00, 1.000000000000000000e+00
-2.136588063832624979e-02, 4.816503676081627661e-01, -1.966793935812760283e-03, 1.061224489795918435e+00, 1.305068469060736591e+00
-3.874383415627915411e-02, 4.816503676081628216e-01, 1.691457763294885899e-04, 1.061224489795918435e+00, 1.562909806680132796e+00
-5.142139928060873028e-02, 4.816503676081627661e-01, 2.035896358989251233e-03, 1.061224489795918435e+00, 1.751621091438194222e+00
-5.970371586421303889e-02, 4.816503676081628771e-01, 3.571187790907726003e-03, 1.061224489795918435e+00, 1.875680585274343448e+00
-6.469277148472318828e-02, 4.816503676081627661e-01, 4.857027777802983351e-03, 1.061224489795918435e+00, 1.951584046726686061e+00
-6.677307802779539059e-02, 4.816503676081627661e-01, 6.810624796705029571e-03, 1.061224489795918435e+00, 2.000000000000000000e+00
-6.530541774472384264e-02, 4.816503676081630436e-01, 9.450762528378866406e-03, 1.061224489795918435e+00, 2.048415953273313939e+00
-6.077949393794716826e-02, 4.816503676081627661e-01, 1.209140746220462026e-02, 1.061224489795918435e+00, 2.124319414725656774e+00
-5.238371097110698649e-02, 4.816503676081627661e-01, 1.389684684064357821e-02, 1.061224489795918435e+00, 2.248378908561805556e+00
-3.928539490173783844e-02, 4.816503676081627661e-01, 1.387388268898473269e-02, 1.061224489795918435e+00, 2.437090193319866760e+00
-2.144598147215212927e-02, 4.816503676081627661e-01, 1.231160034788471302e-02, 1.061224489795918435e+00, 2.694931530939263631e+00
-4.520361493012232468e-04, 4.816503676081627661e-01, 9.456112092542229980e-03, 1.061224489795918435e+00, 3.000000000000000000e+00
2.033600290512009579e-02, 4.816503676081627661e-01, 5.370967103042740068e-03, 1.061224489795918435e+00, 3.305068469060736369e+00
3.769747408739253236e-02, 4.816503676081627661e-01, 9.790890482973722223e-04, 1.061224489795918435e+00, 3.562909806680132796e+00
5.033837116591431682e-02, 4.816503676081627661e-01, -2.485940929343679121e-03, 1.061224489795918435e+00, 3.751621091438194000e+00
5.864073302382905722e-02, 4.816503676081627661e-01, -4.792732700692641998e-03, 1.061224489795918435e+00, 3.875680585274343670e+00
6.376221173781637663e-02, 4.816503676081627661e-01, -6.040626117982781859e-03, 1.061224489795918435e+00, 3.951584046726686061e+00
6.677307802779539059e-02, 4.816503676081627661e-01, -6.810624796705029571e-03, 1.061224489795918435e+00, 4.000000000000000000e+00
6.679602367583088729e-02, 5.046519378775506937e-01, -6.581787650315753038e-03, 1.081632653061224580e+00, 0.000000000000000000e+00
6.377127316979447347e-02, 5.046519378775506937e-01, -7.033737797138692703e-03, 1.081632653061224580e+00, 4.841595327331393861e-02
5.861982656702058314e-02, 5.046519378775506937e-01, -7.173215077949031057e-03, 1.081632653061224580e+00, 1.243194147256564686e-01
