  
       XFOIL         Version 6.99
  
 Calculated polar for: vr12                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.466     Re =     1.443 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.750  -0.4699   0.11072   0.10938   0.0027   0.9674   0.0071
  -9.500  -0.4711   0.10690   0.10554   0.0023   0.9573   0.0071
  -9.250  -0.4708   0.10266   0.10129   0.0010   0.9492   0.0071
  -9.000  -0.4714   0.09837   0.09699  -0.0004   0.9417   0.0071
  -8.750  -0.4719   0.09396   0.09257  -0.0021   0.9336   0.0071
  -8.500  -0.4733   0.08935   0.08795  -0.0041   0.9259   0.0071
  -8.250  -0.4756   0.08461   0.08319  -0.0064   0.9175   0.0072
  -8.000  -0.4786   0.07961   0.07818  -0.0092   0.9090   0.0073
  -7.750  -0.4835   0.07443   0.07297  -0.0125   0.8998   0.0074
  -7.500  -0.4893   0.06869   0.06722  -0.0179   0.8896   0.0075
  -7.250  -0.4990   0.06277   0.06124  -0.0238   0.8785   0.0076
  -6.500  -0.5121   0.04668   0.04476  -0.0301   0.8510   0.0078
  -6.250  -0.5088   0.04178   0.03967  -0.0302   0.8422   0.0079
  -6.000  -0.5016   0.03732   0.03500  -0.0294   0.8347   0.0081
  -5.750  -0.4921   0.03290   0.03033  -0.0281   0.8273   0.0083
  -5.500  -0.4833   0.02806   0.02515  -0.0260   0.8208   0.0089
  -5.250  -0.4859   0.02013   0.01655  -0.0219   0.8143   0.0101
  -5.000  -0.4612   0.01808   0.01421  -0.0201   0.8079   0.0111
  -4.750  -0.4430   0.01396   0.00951  -0.0174   0.8011   0.0133
  -4.500  -0.4107   0.01337   0.00874  -0.0162   0.7924   0.0147
  -4.250  -0.3810   0.01198   0.00706  -0.0148   0.7850   0.0165
  -4.000  -0.3477   0.01169   0.00668  -0.0140   0.7780   0.0176
  -3.750  -0.3152   0.01116   0.00602  -0.0131   0.7714   0.0190
  -3.500  -0.2821   0.01079   0.00553  -0.0124   0.7640   0.0201
  -3.250  -0.2507   0.01026   0.00493  -0.0115   0.7564   0.0218
  -3.000  -0.2177   0.01000   0.00462  -0.0110   0.7483   0.0233
  -2.750  -0.1852   0.00968   0.00422  -0.0103   0.7403   0.0245
  -2.500  -0.1537   0.00925   0.00371  -0.0095   0.7322   0.0254
  -2.250  -0.1229   0.00878   0.00320  -0.0087   0.7236   0.0266
  -2.000  -0.0907   0.00855   0.00291  -0.0082   0.7137   0.0278
  -1.750  -0.0581   0.00833   0.00266  -0.0078   0.7046   0.0289
  -1.500  -0.0255   0.00817   0.00245  -0.0074   0.6936   0.0301
  -1.250   0.0071   0.00803   0.00225  -0.0071   0.6781   0.0308
  -1.000   0.0390   0.00782   0.00197  -0.0067   0.6603   0.0323
  -0.750   0.0714   0.00774   0.00181  -0.0064   0.6363   0.0342
  -0.500   0.1034   0.00778   0.00169  -0.0061   0.5898   0.0357
  -0.250   0.1346   0.00802   0.00166  -0.0058   0.5137   0.0376
   0.000   0.1648   0.00832   0.00168  -0.0055   0.4315   0.0436
   0.250   0.1926   0.00847   0.00172  -0.0049   0.3429   0.1207
   0.500   0.2147   0.00778   0.00170  -0.0034   0.3034   0.4030
   0.750   0.2321   0.00692   0.00167  -0.0006   0.2813   0.6956
   1.000   0.2501   0.00636   0.00176   0.0028   0.2657   0.9020
   1.250   0.3160   0.00672   0.00214  -0.0040   0.2458   0.9632
   1.500   0.3608   0.00707   0.00240  -0.0063   0.2320   0.9751
   1.750   0.4074   0.00732   0.00258  -0.0092   0.2204   0.9784
   2.000   0.4492   0.00759   0.00279  -0.0109   0.2106   0.9846
   2.250   0.4985   0.00782   0.00294  -0.0144   0.1996   0.9862
   2.500   0.5457   0.00803   0.00309  -0.0174   0.1899   0.9882
   2.750   0.5874   0.00820   0.00321  -0.0191   0.1825   0.9900
   3.000   0.6246   0.00837   0.00333  -0.0200   0.1746   0.9916
   3.250   0.6611   0.00854   0.00347  -0.0206   0.1682   0.9933
   3.500   0.6985   0.00873   0.00361  -0.0215   0.1598   0.9944
   3.750   0.7384   0.00888   0.00374  -0.0227   0.1542   0.9952
   4.000   0.7776   0.00905   0.00388  -0.0238   0.1483   0.9960
   4.250   0.8159   0.00925   0.00406  -0.0247   0.1427   0.9970
   4.500   0.8541   0.00942   0.00422  -0.0255   0.1387   0.9979
   4.750   0.8921   0.00963   0.00441  -0.0262   0.1342   0.9989
   5.000   0.9297   0.00988   0.00466  -0.0268   0.1296   0.9997
   5.250   0.9637   0.01006   0.00487  -0.0265   0.1274   1.0000
   5.500   0.9931   0.01026   0.00508  -0.0253   0.1247   1.0000
   5.750   1.0220   0.01049   0.00531  -0.0240   0.1215   1.0000
   6.000   1.0500   0.01077   0.00560  -0.0225   0.1179   1.0000
   6.250   1.0781   0.01104   0.00590  -0.0209   0.1159   1.0000
   6.500   1.1064   0.01127   0.00617  -0.0193   0.1144   1.0000
   6.750   1.1345   0.01152   0.00647  -0.0175   0.1125   1.0000
   7.000   1.1621   0.01180   0.00677  -0.0157   0.1102   1.0000
   7.250   1.1892   0.01211   0.00710  -0.0137   0.1078   1.0000
   7.500   1.2152   0.01248   0.00751  -0.0115   0.1050   1.0000
   7.750   1.2412   0.01285   0.00794  -0.0092   0.1030   1.0000
   8.000   1.2686   0.01313   0.00828  -0.0071   0.1009   1.0000
   8.250   1.2955   0.01343   0.00862  -0.0048   0.0974   1.0000
   8.500   1.3208   0.01381   0.00903  -0.0023   0.0933   1.0000
   8.750   1.3460   0.01418   0.00946   0.0003   0.0892   1.0000
   9.000   1.3709   0.01455   0.00988   0.0031   0.0846   1.0000
   9.250   1.3932   0.01503   0.01039   0.0062   0.0790   1.0000
   9.500   1.4152   0.01550   0.01091   0.0093   0.0724   1.0000
   9.750   1.4304   0.01608   0.01153   0.0135   0.0666   1.0000
  10.000   1.4404   0.01672   0.01223   0.0183   0.0619   1.0000
  10.250   1.4519   0.01751   0.01308   0.0226   0.0576   1.0000
  10.500   1.4644   0.01841   0.01407   0.0265   0.0536   1.0000
  10.750   1.4735   0.01960   0.01536   0.0303   0.0494   1.0000
  11.000   1.4876   0.02066   0.01653   0.0336   0.0459   1.0000
  11.250   1.4960   0.02214   0.01813   0.0369   0.0421   1.0000
  11.500   1.5063   0.02364   0.01976   0.0398   0.0391   1.0000
  11.750   1.5170   0.02524   0.02150   0.0424   0.0358   1.0000
  12.250   1.5275   0.02951   0.02604   0.0468   0.0311   1.0000
  12.500   1.5286   0.03213   0.02880   0.0484   0.0295   1.0000
  12.750   1.5256   0.03523   0.03205   0.0495   0.0283   1.0000
  13.000   1.5175   0.03893   0.03590   0.0499   0.0275   1.0000
  13.250   1.5033   0.04346   0.04057   0.0492   0.0268   1.0000
  13.500   1.4847   0.04878   0.04605   0.0475   0.0263   1.0000
  13.750   1.4576   0.05554   0.05295   0.0440   0.0261   1.0000
  14.000   1.4186   0.06414   0.06167   0.0389   0.0262   1.0000
  14.250   1.3693   0.07396   0.07157   0.0331   0.0266   1.0000
  14.750   1.2788   0.09193   0.08964   0.0229   0.0274   1.0000
  15.000   1.2428   0.10010   0.09785   0.0182   0.0276   1.0000
