x	y
0.003	0.691
0.003	0.691
0.005	0.865
0.005	0.775
0.009	1.194
0.009	1.194
0.010	1.361
0.010	1.278
0.014	1.613
0.014	1.613
0.016	1.626
0.016	1.613
0.020	1.697
0.020	1.697
0.021	1.732
0.021	1.697
0.025	1.865
0.025	1.865
0.027	2.006
0.027	1.949
0.031	2.284
0.031	2.284
0.032	2.478
0.032	2.368
0.037	2.703
0.037	2.703
0.038	2.787
0.038	2.787
0.042	2.954
0.042	2.954
0.044	3.045
0.044	3.038
0.048	3.039
0.048	3.039
0.049	3.156
0.049	2.955
0.053	2.704
0.053	2.704
0.055	2.537
0.056	2.647
0.059	2.537
0.059	2.537
0.060	2.621
0.062	2.714
0.065	2.789
0.065	2.705
0.066	2.789
0.067	2.949
0.070	2.873
0.070	2.873
0.072	2.957
0.073	3.055
0.076	2.789
0.076	2.789
0.077	2.706
0.078	2.782
0.081	2.204
0.081	2.204
0.083	2.288
0.083	2.120
0.087	1.618
0.087	1.618
0.087	1.734
0.088	1.451
0.091	1.233
0.092	0.949
0.092	0.949
0.094	0.698
0.096	0.537
0.098	-0.139
0.098	-0.139
0.099	-0.114
0.099	-0.557
0.102	-0.808
0.103	-1.478
0.104	-2.231
0.104	-2.483
0.105	-2.315
0.105	-2.734
0.106	1.452
0.107	-1.560
0.108	1.369
0.108	-0.054
0.108	0.699
0.108	-0.808
0.109	2.876
0.109	2.206
0.109	3.601
0.109	5.722
0.109	0.280
0.109	4.299
0.110	7.480
0.110	5.806
0.110	5.052
0.110	6.593
0.110	9.669
0.111	3.211
0.111	8.987
0.111	8.233
0.112	12.084
0.112	10.544
0.113	12.754
0.113	11.247
0.113	14.966
0.113	13.457
0.113	16.214
0.113	15.755
0.113	14.261
0.113	14.999
0.113	18.279
0.113	17.024
0.113	16.438
0.113	18.279
0.113	17.191
0.115	20.930
0.115	21.795
0.115	20.958
0.115	21.767
0.116	22.465
0.116	22.465
0.118	19.451
0.118	19.451
0.118	20.205
0.118	20.205
0.118	18.782
0.118	18.782
0.118	18.391
0.118	17.526
0.118	16.773
0.119	14.094
0.120	16.103
0.120	15.433
0.120	14.764
0.120	13.305
0.120	12.615
0.120	11.917
0.120	11.248
0.120	10.299
0.120	9.490
0.120	8.726
0.121	7.983
0.121	7.285
0.121	6.476
0.121	5.806
0.121	5.053
0.122	4.769
0.122	4.049
0.122	2.542
0.122	3.295
0.122	1.872
0.122	1.202
0.126	-2.648
0.126	-2.658
0.126	-2.659
0.127	-2.672
0.127	-2.672
0.127	-1.898
0.127	-1.892
0.127	-1.872
0.127	-1.875
0.127	-1.875
0.128	-0.472
0.128	-0.472
0.128	-0.472
0.128	-0.472
0.128	-0.472
0.128	-1.141
0.128	-1.141
0.128	-1.141
0.128	-1.141
0.128	-1.141
0.129	0.282
0.129	0.952
0.129	0.952
0.129	0.952
0.129	0.952
0.129	0.952
0.129	0.282
0.129	0.282
0.129	0.282
0.129	0.282
0.130	1.873
0.130	1.873
0.130	1.873
0.130	1.873
0.131	1.860
0.131	3.379
0.131	2.626
0.131	3.379
0.131	2.626
0.131	3.379
0.131	2.626
0.131	4.803
0.131	4.803
0.131	4.049
0.131	4.049
0.131	3.379
0.131	3.379
0.131	2.626
0.131	2.626
0.131	4.803
0.131	4.049
0.131	4.803
0.131	4.049
0.131	4.803
0.131	4.049
0.132	6.393
0.132	6.393
0.132	6.393
0.132	6.393
0.132	6.393
0.132	5.556
0.132	5.556
0.132	5.472
0.132	5.472
0.132	5.472
0.134	7.749
0.134	7.741
0.134	7.733
0.134	7.733
0.134	7.733
0.134	7.063
0.134	7.063
0.134	7.057
0.134	7.057
0.134	7.057
0.134	8.448
0.134	8.461
0.134	8.461
0.134	8.570
0.134	8.564
0.135	9.240
0.135	9.156
0.135	9.240
0.135	9.156
0.135	9.156
0.137	9.876
0.137	9.861
0.137	10.077
0.138	10.003
0.138	9.912
0.138	9.912
0.139	9.184
0.139	9.184
0.139	9.184
0.139	9.184
0.139	9.072
0.141	8.413
0.141	8.413
0.141	8.413
0.141	8.411
0.141	8.403
0.142	7.566
0.142	7.568
0.142	7.566
0.142	7.570
0.142	7.570
0.143	4.301
0.143	6.896
0.143	6.896
0.143	6.896
0.143	6.896
0.143	6.896
0.143	6.227
0.143	6.227
0.143	6.227
0.143	6.227
0.143	6.059
0.143	5.157
0.143	5.157
0.144	5.159
0.144	5.389
0.144	5.389
0.145	4.727
0.145	4.726
0.145	4.415
0.145	4.415
0.145	4.348
0.145	3.632
0.145	3.632
0.145	4.050
0.145	4.050
0.145	3.548
0.146	3.220
0.146	3.213
0.148	2.723
0.148	2.723
0.148	2.711
0.148	2.544
0.148	2.544
0.148	2.041
0.148	2.041
0.148	2.041
0.148	1.790
0.148	1.790
0.148	0.953
0.149	1.204
0.149	1.204
0.149	1.204
0.149	1.037
0.149	0.869
0.149	0.535
0.150	0.203
0.150	0.200
0.150	0.200
0.150	0.200
0.150	-0.135
0.152	-0.454
0.152	-0.454
0.152	-0.461
0.152	-0.470
0.153	-0.804
0.153	-1.111
0.153	-1.111
0.153	-1.111
0.154	-1.139
0.154	-1.558
0.155	-1.641
0.156	-2.144
0.156	-2.144
0.156	-2.288
0.156	-2.288
0.157	-2.623
0.158	-2.813
0.158	-2.813
0.159	-3.148
0.159	-3.148
0.159	-3.299
0.159	-3.734
0.160	-3.516
0.160	-3.566
0.162	-3.943
0.162	-3.943
0.162	-4.034
0.162	-4.152
0.163	-4.487
0.165	-4.611
0.165	-4.611
0.165	-4.654
0.167	-4.384
0.169	-4.240
0.169	-4.242
0.170	-4.125
0.170	-4.125
0.171	-4.235
0.174	-4.428
0.175	-4.653
0.175	-4.653
0.176	-4.653
0.176	-4.653
0.176	-4.988
0.179	-5.165
0.180	-5.372
0.180	-5.372
0.180	-5.350
0.180	-5.358
0.182	-5.657
0.185	-5.577
0.187	-5.406
0.187	-5.406
0.187	-5.406
0.187	-5.407
0.187	-5.238
0.189	-4.905
0.191	-4.545
0.191	-4.547
0.191	-4.569
0.191	-4.569
0.192	-4.292
0.193	-4.150
0.196	-3.898
0.196	-3.898
0.196	-3.898
0.196	-3.898
0.198	-4.012
0.199	-4.317
0.200	-4.431
0.200	-4.427
0.201	-4.402
0.201	-4.402
0.202	-4.593
0.204	-4.902
0.206	-4.735
0.206	-4.735
0.206	-4.748
0.206	-4.746
0.209	-4.735
0.210	-4.734
0.214	-4.399
0.214	-4.399
0.214	-4.399
0.214	-4.399
0.215	-4.360
0.215	-4.399
0.219	-4.231
0.219	-4.231
0.219	-4.259
0.219	-4.257
0.221	-4.399
0.222	-4.352
0.225	-4.231
0.225	-4.231
0.225	-4.243
0.225	-4.241
0.226	-4.147
0.229	-3.896
0.231	-3.645
0.231	-3.645
0.232	-3.580
0.232	-3.580
0.232	-3.477
0.234	-3.231
0.236	-3.058
0.236	-3.058
0.236	-3.082
0.236	-3.084
0.238	-2.891
0.239	-2.759
0.240	-2.553
0.240	-2.553
0.240	-2.554
0.240	-2.553
0.243	-2.555
0.245	-2.555
0.247	-2.466
0.247	-2.466
0.247	-2.469
0.247	-2.457
0.249	-2.471
0.253	-2.237
0.253	-2.244
0.254	-2.133
0.254	-2.136
0.255	-2.052
0.255	-2.052
0.260	-2.066
0.260	-2.064
0.260	-2.136
0.260	-2.039
0.263	-1.884
0.263	-1.884
0.265	-1.567
0.265	-1.568
0.266	-1.540
0.266	-1.549
0.268	-1.382
0.268	-1.382
0.270	-1.171
0.271	-1.163
0.271	-1.298
0.273	-1.214
0.274	-1.174
0.274	-1.174
0.276	-1.074
0.277	-1.073
0.277	-1.130
0.278	-1.009
0.281	-0.879
0.281	-0.879
0.282	-0.784
0.282	-0.795
0.282	-0.795
0.285	-0.564
0.288	-0.506
0.288	-0.508
0.288	-0.543
0.291	-0.531
0.292	-0.543
0.292	-0.543
0.293	-0.543
0.293	-0.543
0.293	-0.710
0.298	-0.542
0.298	-0.542
0.298	-0.542
0.299	-0.626
0.300	-0.532
0.300	-0.535
0.303	-0.394
0.303	-0.394
0.303	-0.401
0.305	-0.542
0.306	-0.519
0.306	-0.520
0.308	-0.705
0.308	-0.705
0.310	-1.044
0.310	-0.876
0.313	-1.006
0.313	-1.007
0.313	-1.044
0.313	-1.044
0.316	-1.294
0.316	-1.211
0.318	-1.366
0.318	-1.366
0.319	-1.340
0.319	-1.378
0.321	-1.378
0.323	-1.175
0.325	-1.043
0.325	-1.043
0.325	-1.068
0.325	-1.067
0.327	-1.126
0.328	-1.042
0.331	-1.042
0.331	-1.042
0.331	-1.048
0.331	-1.046
0.333	-1.209
0.336	-1.042
0.337	-1.042
0.337	-1.042
0.337	-1.048
0.337	-1.046
0.338	-1.209
0.342	-1.049
0.344	-1.209
0.345	-1.157
0.345	-1.157
0.345	-1.141
0.345	-1.151
0.348	-1.208
0.349	-1.376
0.350	-1.375
0.350	-1.375
0.351	-1.372
0.351	-1.373
0.351	-1.627
0.354	-1.403
0.355	-1.375
0.356	-1.459
0.357	-1.172
0.357	-1.177
0.357	-1.201
0.357	-1.201
0.360	-0.935
0.360	-0.873
0.362	-0.747
0.362	-0.747
0.362	-0.767
0.362	-0.767
0.362	-0.789
0.366	-0.515
0.366	-0.537
0.367	-0.488
0.367	-0.490
0.367	-0.621
0.369	-0.379
0.369	-0.379
0.372	-0.370
0.373	-0.118
0.373	-0.175
0.373	-0.177
0.374	-0.183
0.375	-0.033
0.375	-0.033
0.377	0.300
0.378	0.326
0.378	0.325
0.378	0.319
0.379	0.552
0.379	0.469
0.379	0.469
0.383	0.636
0.383	0.638
0.383	0.638
0.384	0.719
0.384	0.659
0.387	0.698
0.387	0.698
0.388	0.720
0.388	0.636
0.390	0.552
0.391	0.804
0.391	0.852
0.393	0.971
0.393	0.971
0.394	0.971
0.394	0.971
0.395	0.971
0.397	1.129
0.397	1.121
0.399	1.139
0.399	1.139
0.400	1.055
0.401	1.147
0.401	0.888
0.402	1.133
0.403	1.125
0.405	1.139
0.405	1.139
0.405	0.972
0.406	1.120
0.406	0.972
0.408	1.149
0.408	1.147
0.411	1.307
0.411	1.307
0.411	1.224
0.412	1.307
0.413	1.475
0.414	1.475
0.414	1.475
0.416	1.475
0.418	1.643
0.418	1.643
0.418	1.475
0.419	1.595
0.421	1.475
0.421	1.475
0.422	1.308
0.423	1.308
0.423	1.308
0.423	1.057
0.426	1.201
0.426	1.200
0.427	1.137
0.427	1.057
0.429	0.974
0.430	1.141
0.430	1.141
0.432	1.137
0.432	1.147
0.433	1.141
0.434	1.142
0.435	1.142
0.437	1.142
0.437	1.142
0.437	1.129
0.439	1.117
0.439	0.975
0.440	0.724
0.441	0.975
0.443	0.975
0.443	0.975
0.444	0.724
0.445	0.808
0.445	0.808
0.446	0.640
0.447	0.657
0.450	0.473
0.450	0.473
0.450	0.390
0.451	0.473
0.451	0.473
0.451	0.222
0.453	0.473
0.455	0.390
0.457	0.474
0.457	0.474
0.457	0.474
0.457	0.474
0.457	0.223
0.460	0.393
0.461	0.307
0.464	0.307
0.464	0.307
0.464	0.307
0.464	0.307
0.467	0.307
0.467	0.223
0.469	0.429
0.469	0.429
0.469	0.411
0.469	0.400
0.472	0.308
0.473	0.308
0.475	0.406
0.476	0.426
0.476	0.426
0.476	0.409
0.478	0.308
0.479	0.383
0.481	0.411
0.482	0.321
0.482	0.308
0.482	0.308
0.483	0.225
0.485	0.308
0.487	0.309
0.488	0.309
0.488	0.309
0.488	0.309
0.489	0.225
0.492	0.309
0.494	0.309
0.494	0.309
0.494	0.297
0.494	0.300
0.494	0.225
0.497	0.309
0.500	0.310
0.501	0.477
0.501	0.477
0.501	0.470
0.501	0.472
0.503	0.477
0.506	0.394
0.508	0.645
0.508	0.645
0.508	0.624
0.508	0.626
0.508	0.668
0.511	0.813
0.514	0.937
0.514	0.937
0.514	0.919
0.514	0.913
0.515	0.933
0.517	0.813
0.519	0.886
0.520	0.886
0.520	0.874
0.520	0.874
0.522	0.981
0.522	0.982
0.525	1.316
0.525	1.316
0.525	1.316
0.525	1.316
0.527	1.483
0.528	1.567
0.529	1.651
0.529	1.651
0.534	2.042
0.534	1.998
0.534	1.995
0.534	1.986
0.536	2.237
0.536	2.153
0.536	2.153
0.539	2.154
0.540	2.179
0.540	2.177
0.540	2.170
0.542	2.237
0.543	2.154
0.543	2.154
0.545	2.070
0.546	2.161
0.546	2.167
0.546	2.166
0.547	2.238
0.549	2.154
0.549	2.154
0.550	2.154
0.552	2.178
0.552	2.181
0.552	2.179
0.553	2.406
0.556	2.155
0.557	2.184
0.557	2.182
0.557	2.181
0.559	2.071
0.560	2.322
0.560	2.322
0.561	2.239
0.563	2.323
0.563	2.323
0.563	2.323
0.564	2.072
0.567	2.591
0.567	2.591
0.567	2.490
0.568	2.650
0.568	2.648
0.570	2.239
0.570	2.491
0.573	2.491
0.573	2.491
0.573	2.407
0.574	2.491
0.575	2.491
0.575	2.072
0.577	2.323
0.578	2.156
0.578	2.271
0.578	2.271
0.580	2.152
0.580	2.154
0.581	1.738
0.583	1.842
0.583	1.842
0.583	1.862
0.584	1.655
0.586	1.614
0.586	1.612
0.587	1.069
0.587	1.360
0.587	1.360
0.589	1.203
0.589	0.902
0.590	0.997
0.590	0.997
0.591	0.723
0.591	0.723
0.592	0.065
0.593	0.490
0.594	0.233
0.594	0.233
0.595	-0.102
0.596	-0.053
0.596	-0.053
0.596	-0.102
0.597	-0.347
0.597	-0.347
0.598	-1.524
0.598	-0.771
0.598	-0.771
0.598	-0.771
0.599	-1.273
0.599	-1.273
0.600	-1.440
0.600	-1.440
0.600	-1.440
0.601	-1.859
0.601	-1.942
0.601	-1.942
0.603	-2.444
0.603	-2.444
0.603	-2.611
0.603	-2.611
0.603	-2.611
0.603	-2.528
0.605	-3.197
0.605	-3.197
0.605	-3.197
0.605	-3.197
0.605	-3.197
0.606	-2.528
0.608	-2.444
0.608	-2.444
0.608	-1.774
0.608	-1.774
0.608	-1.774
0.608	-2.276
0.608	-2.276
0.608	-2.444
0.609	4.585
0.609	-0.950
0.610	2.326
0.610	1.657
0.610	0.884
0.611	5.506
0.611	4.836
0.611	4.167
0.611	3.414
0.612	10.515
0.612	8.937
0.612	7.849
0.612	9.720
0.612	7.179
0.612	6.398
0.614	14.794
0.614	13.790
0.614	12.953
0.614	12.200
0.614	11.439
0.614	11.949
0.615	16.250
0.615	16.133
0.615	15.464
0.615	12.535
0.617	17.639
0.617	15.296
0.617	16.886
0.617	16.049
0.618	14.376
0.619	15.631
0.619	11.866
0.619	11.196
0.619	10.443
0.619	9.615
0.620	8.770
0.620	5.255
0.620	5.255
0.621	15.464
0.621	13.707
0.621	12.954
0.621	7.682
0.621	7.682
0.621	6.762
0.621	6.762
0.621	5.339
0.621	5.339
0.624	4.530
0.624	4.530
0.624	3.666
0.624	3.666
0.624	2.996
0.624	2.996
0.624	2.243
0.624	2.243
0.624	-0.100
0.625	1.072
0.626	-0.936
0.626	-0.936
0.626	-0.984
0.626	-0.971
0.626	-0.976
0.628	1.742
0.628	-0.155
0.628	-0.267
0.628	-0.267
0.629	1.072
0.629	2.662
0.629	2.662
0.629	1.993
0.629	1.993
0.629	1.276
0.629	1.072
0.629	0.570
0.629	0.398
0.629	0.399
0.629	-0.448
0.630	1.825
0.630	1.742
0.631	3.478
0.631	3.472
0.631	3.415
0.631	2.746
0.631	2.746
0.631	2.445
0.631	2.010
0.631	1.156
0.631	0.403
0.631	4.168
0.631	4.168
0.632	4.252
0.632	4.252
0.632	4.252
0.632	5.005
0.632	4.949
0.632	4.949
0.632	3.415
