# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,PropGeom,0,BNRIVEPAOP,0,0,1,6.123233995736766036e-17, 0.000000000000000000e+00, -1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 6.123233995736766036e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,50,25
# x,y,z,u,w
5.194999999999998230e-02, 1.743559999999995114e-01, 3.181020060785248844e-18, 1.000000000000000000e+00, 0.000000000000000000e+00
4.960121058088051010e-02, 1.743559999999995114e-01, -3.666278254296923824e-04, 1.000000000000000000e+00, 4.841595327331393861e-02
4.558742239429996318e-02, 1.743559999999995114e-01, -6.309059400539661659e-04, 1.000000000000000000e+00, 1.243194147256564686e-01
3.902708754239744143e-02, 1.743559999999995114e-01, -1.062131678824979313e-03, 1.000000000000000000e+00, 2.483789085618058612e-01
2.904795084936112604e-02, 1.743559999999995114e-01, -1.718399987480281150e-03, 1.000000000000000000e+00, 4.370901933198670375e-01
1.541313972395304266e-02, 1.743559999999995114e-01, -2.614370060338767378e-03, 1.000000000000000000e+00, 6.949315309392636308e-01
-7.190410274217617090e-04, 1.743559999999995114e-01, -3.674914865205203100e-03, 1.000000000000000000e+00, 1.000000000000000000e+00
-1.685302214632709156e-02, 1.743559999999995114e-01, -4.706449543343706535e-03, 1.000000000000000000e+00, 1.305068469060736591e+00
-3.051109994121514388e-02, 1.743559999999994281e-01, -5.033117562826274448e-03, 1.000000000000000000e+00, 1.562909806680132796e+00
-4.049403100114232212e-02, 1.743559999999995114e-01, -4.500156888965329248e-03, 1.000000000000000000e+00, 1.751621091438194222e+00
-4.696925652773552978e-02, 1.743559999999995114e-01, -3.394780778690762932e-03, 1.000000000000000000e+00, 1.875680585274343448e+00
-5.068760102122727568e-02, 1.743559999999995114e-01, -1.904930844507020295e-03, 1.000000000000000000e+00, 1.951584046726686061e+00
-5.194999999999998230e-02, 1.743559999999995114e-01, -3.181020060785248844e-18, 1.000000000000000000e+00, 2.000000000000000000e+00
-5.068760102122731037e-02, 1.743559999999995114e-01, 1.904930844507014224e-03, 1.000000000000000000e+00, 2.048415953273313939e+00
-4.696925652773554366e-02, 1.743559999999995114e-01, 3.394780778690759896e-03, 1.000000000000000000e+00, 2.124319414725656774e+00
-4.049403100114233600e-02, 1.743559999999995114e-01, 4.500156888965317105e-03, 1.000000000000000000e+00, 2.248378908561805556e+00
-3.051109994121510571e-02, 1.743559999999995114e-01, 5.033117562826267509e-03, 1.000000000000000000e+00, 2.437090193319866760e+00
-1.685302214632707074e-02, 1.743559999999995114e-01, 4.706449543343705667e-03, 1.000000000000000000e+00, 2.694931530939263631e+00
-7.190410274217764542e-04, 1.743559999999995114e-01, 3.674914865205209172e-03, 1.000000000000000000e+00, 3.000000000000000000e+00
1.541313972395300276e-02, 1.743559999999995114e-01, 2.614370060338772148e-03, 1.000000000000000000e+00, 3.305068469060736369e+00
2.904795084936111910e-02, 1.743559999999994281e-01, 1.718399987480283102e-03, 1.000000000000000000e+00, 3.562909806680132796e+00
3.902708754239739980e-02, 1.743559999999995114e-01, 1.062131678824987119e-03, 1.000000000000000000e+00, 3.751621091438194000e+00
4.558742239429994930e-02, 1.743559999999995114e-01, 6.309059400539734300e-04, 1.000000000000000000e+00, 3.875680585274343670e+00
4.960121058088043378e-02, 1.743559999999995114e-01, 3.666278254296997008e-04, 1.000000000000000000e+00, 3.951584046726686061e+00
5.194999999999998230e-02, 1.743559999999995114e-01, 3.181020060785248844e-18, 1.000000000000000000e+00, 4.000000000000000000e+00
5.194999999999998230e-02, 1.903487346938771974e-01, 3.181020060785248459e-18, 1.020408163265306145e+00, 0.000000000000000000e+00
4.960121058088051010e-02, 1.903487346938771974e-01, -3.666278254296923824e-04, 1.020408163265306145e+00, 4.841595327331393861e-02
4.558742239429996318e-02, 1.903487346938771974e-01, -6.309059400539661659e-04, 1.020408163265306145e+00, 1.243194147256564686e-01
3.902708754239745531e-02, 1.903487346938771974e-01, -1.062131678824979313e-03, 1.020408163265306145e+00, 2.483789085618058612e-01
2.904795084936113297e-02, 1.903487346938771974e-01, -1.718399987480281150e-03, 1.020408163265306145e+00, 4.370901933198670375e-01
1.541313972395304266e-02, 1.903487346938771974e-01, -2.614370060338767811e-03, 1.020408163265306145e+00, 6.949315309392636308e-01
-7.190410274217617090e-04, 1.903487346938771974e-01, -3.674914865205203100e-03, 1.020408163265306145e+00, 1.000000000000000000e+00
-1.685302214632709156e-02, 1.903487346938771974e-01, -4.706449543343706535e-03, 1.020408163265306145e+00, 1.305068469060736591e+00
-3.051109994121513347e-02, 1.903487346938771141e-01, -5.033117562826274448e-03, 1.020408163265306145e+00, 1.562909806680132796e+00
-4.049403100114232212e-02, 1.903487346938771974e-01, -4.500156888965329248e-03, 1.020408163265306145e+00, 1.751621091438194222e+00
-4.696925652773552284e-02, 1.903487346938771974e-01, -3.394780778690762932e-03, 1.020408163265306145e+00, 1.875680585274343448e+00
-5.068760102122727568e-02, 1.903487346938771974e-01, -1.904930844507020295e-03, 1.020408163265306145e+00, 1.951584046726686061e+00
-5.194999999999998230e-02, 1.903487346938771974e-01, -3.181020060785248459e-18, 1.020408163265306145e+00, 2.000000000000000000e+00
-5.068760102122731037e-02, 1.903487346938771974e-01, 1.904930844507014224e-03, 1.020408163265306145e+00, 2.048415953273313939e+00
-4.696925652773554366e-02, 1.903487346938771974e-01, 3.394780778690760330e-03, 1.020408163265306145e+00, 2.124319414725656774e+00
