  
       XFOIL         Version 6.99
  
 Calculated polar for: b540ols                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.500     Re =     1.186 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -19.500  -0.6850   0.22794   0.22645   0.0704   1.0000   0.0135
 -19.250  -0.6819   0.22387   0.22237   0.0686   1.0000   0.0135
 -19.000  -0.6758   0.22076   0.21926   0.0678   1.0000   0.0137
 -18.750  -0.6690   0.21820   0.21670   0.0668   1.0000   0.0139
 -18.500  -0.6626   0.21557   0.21407   0.0657   1.0000   0.0143
 -18.250  -0.6568   0.21262   0.21111   0.0644   1.0000   0.0149
 -18.000  -0.6556   0.20780   0.20629   0.0621   1.0000   0.0165
 -17.750  -0.6538   0.20362   0.20210   0.0601   1.0000   0.0165
 -17.500  -0.6506   0.19982   0.19829   0.0585   1.0000   0.0166
 -17.250  -0.6471   0.19611   0.19458   0.0569   1.0000   0.0166
 -17.000  -0.6393   0.19383   0.19230   0.0565   1.0000   0.0169
 -16.750  -0.6320   0.19153   0.19000   0.0556   1.0000   0.0173
 -16.500  -0.6256   0.18898   0.18744   0.0545   1.0000   0.0179
 -16.250  -0.6207   0.18592   0.18438   0.0532   1.0000   0.0188
 -16.000  -0.6238   0.18055   0.17900   0.0502   1.0000   0.0200
 -15.750  -0.6209   0.17696   0.17540   0.0487   1.0000   0.0201
 -15.500  -0.8678   0.21208   0.21035   0.0875   1.0000   0.0160
 -15.250  -0.8588   0.20753   0.20580   0.0851   1.0000   0.0157
 -15.000  -0.8505   0.20268   0.20096   0.0825   1.0000   0.0156
 -14.750  -0.8426   0.19769   0.19596   0.0799   1.0000   0.0156
 -14.500  -0.8353   0.19251   0.19078   0.0771   1.0000   0.0157
 -14.250  -0.8297   0.18671   0.18499   0.0741   1.0000   0.0161
 -14.000  -0.8256   0.18058   0.17885   0.0709   1.0000   0.0164
 -13.750  -0.8215   0.17471   0.17298   0.0680   1.0000   0.0165
 -13.500  -0.8181   0.16916   0.16743   0.0652   1.0000   0.0167
 -13.250  -0.8128   0.16449   0.16276   0.0628   1.0000   0.0169
 -13.000  -0.8061   0.16022   0.15850   0.0607   1.0000   0.0171
 -12.750  -0.8008   0.15557   0.15385   0.0585   1.0000   0.0174
 -12.500  -0.7968   0.15071   0.14899   0.0562   1.0000   0.0176
 -12.250  -0.7940   0.14564   0.14393   0.0537   1.0000   0.0181
 -12.000  -0.7950   0.13979   0.13808   0.0509   1.0000   0.0185
 -11.750  -0.8007   0.13302   0.13131   0.0475   1.0000   0.0189
 -11.500  -0.8134   0.12514   0.12343   0.0435   1.0000   0.0194
 -11.250  -0.8399   0.11519   0.11348   0.0381   1.0000   0.0200
 -11.000  -0.8630   0.10659   0.10488   0.0331   1.0000   0.0203
 -10.750  -0.8769   0.09992   0.09821   0.0294   1.0000   0.0205
 -10.500  -0.8924   0.09319   0.09149   0.0256   1.0000   0.0207
 -10.250  -0.9097   0.08635   0.08464   0.0216   1.0000   0.0209
 -10.000  -0.9285   0.07942   0.07772   0.0174   1.0000   0.0211
  -9.750  -0.9473   0.07260   0.07089   0.0132   1.0000   0.0212
  -9.500  -0.9667   0.06572   0.06399   0.0088   1.0000   0.0213
  -9.250  -0.9862   0.05872   0.05697   0.0040   1.0000   0.0214
  -9.000  -1.0048   0.05152   0.04971  -0.0015   1.0000   0.0215
  -8.750  -1.0211   0.04368   0.04180  -0.0092   1.0000   0.0216
  -8.500  -1.0343   0.03554   0.03347  -0.0201   1.0000   0.0218
  -8.250  -1.0457   0.03049   0.02815  -0.0224   1.0000   0.0220
  -8.000  -1.0484   0.02596   0.02325  -0.0228   1.0000   0.0225
  -7.750  -1.0413   0.02208   0.01894  -0.0219   1.0000   0.0231
  -7.500  -1.0242   0.01907   0.01550  -0.0204   1.0000   0.0240
  -7.250  -0.9995   0.01691   0.01300  -0.0187   1.0000   0.0247
  -7.000  -0.9696   0.01540   0.01123  -0.0171   1.0000   0.0256
  -6.750  -0.9373   0.01420   0.00982  -0.0155   1.0000   0.0269
  -6.500  -0.9036   0.01322   0.00865  -0.0140   1.0000   0.0284
  -6.250  -0.8696   0.01233   0.00761  -0.0127   1.0000   0.0302
  -6.000  -0.8342   0.01169   0.00687  -0.0115   1.0000   0.0325
  -5.750  -0.7987   0.01111   0.00618  -0.0105   1.0000   0.0351
  -5.500  -0.7632   0.01059   0.00561  -0.0095   1.0000   0.0384
  -5.250  -0.7275   0.01013   0.00507  -0.0086   1.0000   0.0420
  -5.000  -0.6919   0.00972   0.00464  -0.0078   1.0000   0.0466
  -4.750  -0.6564   0.00931   0.00420  -0.0070   1.0000   0.0518
  -4.500  -0.6209   0.00898   0.00385  -0.0064   1.0000   0.0581
  -4.250  -0.5855   0.00864   0.00352  -0.0058   1.0000   0.0661
  -4.000  -0.5504   0.00831   0.00322  -0.0052   1.0000   0.0766
  -3.750  -0.5154   0.00801   0.00295  -0.0047   1.0000   0.0897
  -3.500  -0.4807   0.00768   0.00270  -0.0042   1.0000   0.1070
  -3.250  -0.4437   0.00739   0.00249  -0.0043   0.9936   0.1274
  -3.000  -0.4012   0.00716   0.00231  -0.0054   0.9399   0.1522
  -2.750  -0.3745   0.00719   0.00215  -0.0030   0.8498   0.1724
  -2.500  -0.3438   0.00730   0.00197  -0.0018   0.7415   0.1953
  -2.250  -0.3105   0.00737   0.00183  -0.0014   0.6546   0.2198
  -1.750  -0.2421   0.00737   0.00162  -0.0010   0.5455   0.2688
  -1.500  -0.2076   0.00734   0.00155  -0.0008   0.5103   0.2910
  -1.000  -0.1385   0.00725   0.00146  -0.0005   0.4663   0.3367
  -0.750  -0.1039   0.00723   0.00144  -0.0004   0.4494   0.3549
  -0.500  -0.0693   0.00721   0.00142  -0.0003   0.4340   0.3732
  -0.250  -0.0346   0.00721   0.00142  -0.0001   0.4188   0.3905
   0.000   0.0000   0.00720   0.00141  -0.0000   0.4053   0.4053
   0.250   0.0347   0.00721   0.00142   0.0001   0.3905   0.4189
   0.500   0.0693   0.00721   0.00142   0.0003   0.3734   0.4341
   0.750   0.1040   0.00723   0.00144   0.0004   0.3549   0.4495
   1.000   0.1386   0.00725   0.00146   0.0005   0.3366   0.4665
   1.500   0.2077   0.00734   0.00155   0.0008   0.2912   0.5104
   1.750   0.2421   0.00737   0.00162   0.0009   0.2686   0.5452
   2.250   0.3105   0.00737   0.00183   0.0014   0.2197   0.6547
   2.500   0.3439   0.00730   0.00197   0.0018   0.1952   0.7419
   2.750   0.3746   0.00719   0.00215   0.0030   0.1724   0.8499
   3.000   0.4013   0.00716   0.00231   0.0054   0.1521   0.9400
   3.250   0.4439   0.00739   0.00249   0.0043   0.1274   0.9941
   3.500   0.4807   0.00769   0.00270   0.0042   0.1069   1.0000
   3.750   0.5154   0.00801   0.00295   0.0047   0.0897   1.0000
   4.000   0.5504   0.00831   0.00322   0.0052   0.0765   1.0000
   4.250   0.5856   0.00864   0.00352   0.0058   0.0661   1.0000
   4.500   0.6209   0.00898   0.00385   0.0064   0.0581   1.0000
   4.750   0.6564   0.00931   0.00420   0.0070   0.0518   1.0000
   5.000   0.6919   0.00972   0.00464   0.0078   0.0466   1.0000
   5.250   0.7276   0.01013   0.00508   0.0086   0.0420   1.0000
   5.500   0.7632   0.01059   0.00561   0.0095   0.0385   1.0000
   5.750   0.7988   0.01111   0.00618   0.0104   0.0351   1.0000
   6.000   0.8343   0.01169   0.00687   0.0115   0.0324   1.0000
   6.250   0.8697   0.01233   0.00761   0.0127   0.0302   1.0000
